Word,Frequency
combinations,24
enemies,96
circumstances,4
objectives,87
whether,44
fighting,106
rivals,22
carrying,4
encounter,28
earn,64
loot,19
progressing,6
story,99
send,41
look,34
contacts,1
trade,70
colony,20
recruit,30
replacements,10
train,39
playable,51
miniatures,115
hand,146
requires,27
small,100
get,202
started,22
making,87
ideal,16
experienced,21
science,18
fiction,6
gamers,18
six-sided,11
couple,16
ten-sided,5
184,2
Royal,12
Size,5
15.6cm,1
x,140
23.4cm,1
hardback,1
book,63
perfect,34
tabletop,31
packed,9
art,42
fast-moving,5
built,60
gaming,45
ground,60
Create,9
wide,32
range,53
characters,136
human,41
alien,25
robot,6
Miniatures,14
agnostic,1
whatever,10
may,286
die,103
injuries,6
find,157
items,64
information,47
Upgrade,13
starship,7
modules,21
Procedurally,1
generate,20
array,16
possible,120
50,16
enemy,134
types,80
Random,9
tables,16
towns,14
character,107
events,133
travel,38
5,137
difficulty,25
settings,5
super-hard,1
Black,33
Red,49
Zone,6
Extensive,4
options,77
Mastering,1
allowing,66
complex,43
RPG-like,1
campaigns,75
played,190
connected,13
scenario,170
plots,11
environmental,8
hazards,9
factional,2
conflict,67
7,65
stage,24
narrative,41
retail,6
community,14
favourite,6
Ivan,4
Sorensen,1
Nordic,2
Weasel,2
comes,70
lots,23
content,23
noted,5
graphic,8
layout,8
design,70
stunning,10
throughout,63
Lead,6
Rome,40
glory,34
obscurity,2
develop,57
operate,5
rapidly,11
expanding,15
ancient,79
civilization,59
Pick,6
leader,41
choose,141
decide,46
fate,48
empire,51
Develop,6
refine,2
engine,32
deckbuilding,5
tableau,18
resource,63
management,49
fulfill,18
edicts,2
bring,86
engine-building,9
Res,1
Arcana,5
meets,3
card,446
Mage,26
Knight,15
thinky,1
middle-weight,1
Euro,5
Heroes,108
Blitzkrieg,18
relives,2
desperate,25
struggle,62
France,63
May,24
1940,17
Germans,61
French,108
Belgians,2
Employ,2
cavalry,50
Char,1
B1,1
tanks,42
Panzers,4
re-fight,2
German,239
invasion,39
6,117
geomorphic,8
maps,152
plus,48
sheet,31
overlays,4
420,6
representing,63
men,55
equipment,52
16,30
New,74
Skill,4
Cards,130
providing,21
Leaders,14
Complete,10
V3,1
LnL,1
Rules,84
specific,91
aid,31
longer,39
found,36
Lock,4
'n,1
Load,3
Tactical,24
Defiance,1
Crossing,3
Line,10
Aachen,3
1944,52
operational,34
took,33
September,43
12th,4
October,12
21st,2
intended,13
suitable,9
semi-interactive,1
Division,51
active,26
activated,11
inactive,2
sometimes,18
Divisions,17
react,18
threats,23
interrupt,1
Situation,4
Operation,61
Market,16
Garden,9
final,63
preparation,9
Lieutenant,1
general,10
Hodges,1
led,26
leading,23
elements,78
First,29
Army,137
towards,30
Westwall,1
fortified,10
line,71
south,38
successful,37
opportunity,37
drive,26
crossing,4
Roer,1
River,21
perhaps,21
reaching,9
Rhine,15
Components,36
coming,13
One,271
rulebook,64
extensive,12
notes,22
22x34,9
360,2
extra,40
160,4
Four,28
Setup,5
Reinforcement,7
Withdrawals,2
Scale,78
Rulebook,35
represents,74
1.2km,1
terrain,78
eight,51
Combat,107
mostly,14
battalions,21
Edition,115
2022,2
Contents,19
mounted,30
448,1
double-sided,41
double-sides,1
Setup-,1
Reinforcements,4
displays,9
track,76
10-sided,17
Hearts,3
Minds,3
Vietnam,25
1965-1975,2
Third,13
uncomplicated,1
approach,19
complicated,6
Eight,13
introduce,13
U.S.,26
involvement,7
Southeast,3
Asia,15
US,38
withdrew,2
high,64
capability,11
appreciate,2
start,120
wish,18
fight,180
provides,63
comprehensive,7
mechanics,80
include,90
guerrilla,4
warfare,45
faction,51
differentiation,1
political,79
turmoil,4
veteran,17
advantages,22
already,38
used,154
teaching,5
tool,7
card-driven,22
area-based,2
low,20
counter,49
density,3
simplified,10
flexibility,9
starting,44
ending,16
later,59
Allies,61
ARVN,6
Cambodian,3
Laotian,3
Communist,14
NVA,7
VC,7
remain,21
hidden,41
engaged,8
simple,81
reinforced,3
simply,26
FALSE,3
determined,38
roll,57
Bush,2
Events,24
Table,10
involve,5
discovering,8
Chinese,25
troops,104
arrival,18
USO,1
shows,13
featuring,35
John,19
Wayne,1
Bob,1
Hope,5
involves,9
red,36
communist,4
blue,22
Allied,72
black,23
interchangeable,2
Prior,2
half,39
ensuring,12
indicate,3
amount,32
RPs,1
Resource,7
Points,62
spent,15
banked,1
situation,31
effects,105
Certain,4
Within,12
Blue,21
Deck,6
Campaign,89
chosen,27
increased,9
predetermined,7
area,94
ignore,1
ramifications,2
Card,56
cover,59
mass,6
protests,2
significantly,13
instability,4
South,49
Vietnamese,7
government,27
firepower,7
must,369
walk,10
tightrope,1
casualties,19
many,262
leads,17
rapid,18
rise,29
morale,42
result,52
coup,5
strategic,113
Cambodia,2
Laos,2
destruction,25
forces,217
means,38
fall,40
governments,11
Throughout,20
sides,75
jockey,1
province,5
Political,11
Control,16
determines,22
availability,12
influence,91
easier,24
follow,30
simpler,6
conditions,51
included,104
tested,10
aide,2
premium,7
includes,172
full-sized,2
poker,6
quality,50
standard,33
artistic,1
Product,6
Information,9
Complexity,32
Low,2
Medium,17
10,98
Solitaire,44
suitability,7
Time,76
10-Aug,2
years,116
Map,67
provincial,2
areas,54
indicating,2
bases,20
Unit,34
Units,57
abstract,9
friendly,14
Playing,43
45,20
less,44
per,125
Designer,17
Poniske,1
Original,4
Developer,4
Stan,4
Hilinski,1
David,6
Wessman,1
24,29
rule/scenario,1
Aid,39
Counter,17
sheets,49
4-Mar,11
Counters,15
33,3
Mounted,7
80,8
Standard,26
27,12
Red/27,1
Blue/,1
28,17
6-sided,37
1,381
Red/1Blue,1
lid,2
#NAME?,1
website,46
British,77
Way,12
Counterinsurgency,1
End,20
Empire,66
COIN,13
multipacks,1
containing,21
wargames,10
exploring,14
thematically,2
related,9
insurgencies,1
1945,19
1960,2
fought,51
emergencies,1
referred,2
counterinsurgency,1
trying,69
manage,61
retreat,21
pack,9
focus,46
counterinsurgent,1
responses,5
variety,86
opponents,99
insurgents,1
Malaya,3
militant,1
nationalists,1
Kenya,1
clandestine,4
terrorist,1
organizations,4
Palestine,1
Cyprus,2
adjust,13
core,48
provide,83
compelling,5
handling,6
two-player,42
conflicts,22
streamlining,2
quicken,1
gameplay,87
approachable,2
introduction,23
presenting,5
mechanically,2
distinct,17
compare,6
1822,4
growth,12
age,40
steam,8
Britain,35
excluding,1
north,35
Wales,1
Scottish,4
Highlands,1
part,87
investors,9
Railway,7
maximise,1
wealth,34
McGuffins,1
private,14
minor,23
released,40
concessions,3
bidding,16
rounds,111
tranches,1
mechanism,43
Lawsonian,1
whereby,1
bid,23
limited,60
bids,5
resolved,23
simultaneously,30
3,244
type,50
introduced,23
Local,1
runs,18
home,50
station,18
Major,9
destinations,2
owning,4
agrees,1
flexible,11
variable,29
strong,40
incentive,1
spend,50
initial,37
capital,25
trick-taking,7
Crew,15
Mission,17
Deep,16
Sea,49
search,50
continent,7
Mu,3
deep,53
abyss,1
fabled,3
sunken,2
far,59
depends,16
entirely,10
trick,10
party,35
discover,46
lie,11
ahead,18
forge,18
version,102
highly,59
lauded,1
original,126
surprises,9
communication,6
members,31
severely,8
submerged,1
state,36
critical,26
finding,25
murky,2
depths,7
winning,39
tricks,15
carefully,41
negotiating,3
things,38
n't,102
go,61
planned,10
salvage,2
operation,13
near,44
flawless,1
execution,3
luck,36
finally,42
reach,50
LYNGK,1
synthesis,1
six,112
GIPF,2
Project,4
48,16
colors,26
neutral,24
belong,3
course,105
piles,4
five,115
whose,30
color,66
Whoever,13
clever,22
tactics,65
plans,38
future,68
uses,94
possibility,15
multiple,74
stones,15
ultimately,11
win,179
majority,16
5-stacks,1
upon,63
1289,2
strengthen,12
borders,9
Kingdom,37
King,78
Philip,3
Fair,4
decided,18
castle,23
Caylus,2
humble,6
village,39
soon,16
workers,75
craftsmen,6
flocking,1
cartload,1
attracted,4
prospects,1
Around,3
site,15
city,149
slowly,30
rising,11
embody,5
master,35
builders,5
developing,24
prestige,32
points,364
favor,34
finished,6
earned,24
wins,108
Expansion,17
Jeweller,1
pay,38
buildings,85
allow,117
gather,51
resources,245
build,232
upgrade,53
help,122
earning,13
favors,9
king,32
larger,38
bonuses,36
Building,16
immediate,11
potentially,12
income,26
since,38
receive,38
others,73
heavy,29
impact,29
stretch,5
along,92
road,23
stretching,3
away,40
paying,9
movement,102
Provost,3
marker,18
helps,14
Bailiff,1
Generally,3
generous,3
ends,101
quickly,84
expedition,14
Western,56
Lands,15
kind,25
honor,14
lifetime,4
royal,5
cartographer,1
dangerous,45
ravages,1
sure,35
Dragul,2
thwart,6
Queen,18
Gimnaxs,1
western,9
Fortunately,5
brave,19
heroes,168
risen,3
defense,49
Nalos,3
Chart,14
deeds,9
alongside,7
queen,5
secure,29
history,93
Cartographers,3
sequel,14
critically,5
acclaimed,17
map-drawing,1
all-new,10
scoring,71
ambush,6
unique,301
mixed,10
components,69
greater,29
possibilities,25
#NAME?,36
MMP,15
Stonewall,15
Jacksons,7
II,143
Bull,10
Run,16
9th,5
award-winning,27
Campaigns,21
GCACW,23
complete,125
revision,2
augmentation,1
Jackson,9
SJW,2
entire,96
module,18
covering,40
called,63
Green,9
Alike,2
AGA,1
newly,15
painted,9
artist,14
Charlie,17
Kibler,17
details,23
standards,8
latest,23
Basic,44
Skirmisher,4
Grant,16
Takes,9
Command,80
Advanced,63
rule,57
sets,49
standardized,4
July,53
1861,12
feature,36
Shenandoah,8
Valley,32
advance,65
aftermath,4
Across,6
Potomac,6
5-Feb,12
Johnston,7
vs.,23
Patterson,1
17-19,1
McDowells,1
Opportunity,4
19-21,1
Innocence,1
21,12
Retreat,10
Washington,18
21-23,1
13,32
16-28,1
Virginia,5
14,27
15-28,1
last,106
Come,11
Rebels,16
west,20
Cedar,7
Mountain,26
Manassas,4
August,36
1862,34
Scenarios,38
redesigned,14
rebalanced,10
revamped,6
better,96
Lee,13
Pope,7
18-19,1
Stuarts,1
Raid,11
22-24,1
Rappahannock,4
25-30,1
March,13
26-28,1
Bag,1
Whole,2
Crowd,1
28-30,2
Go,4
Rapidan,4
19-26,1
19,11
Series,77
Booklet,31
68,2
Specific,12
full-color,41
mapsheets,12
North,80
Countersheets,3
840,7
2-Jan,44
dual-side,25
printed,54
Terrain,20
Effects,9
sided,20
Force,23
Displays,10
Charts,34
Tables,27
foldout,2
Nokosu,1
Number,7
mini-games,2
score,107
plays,48
point,85
chance,42
bonus,40
matches,9
left,44
declares,2
would,80
Unstitched,3
Puppet,5
Wars,86
fast-paced,38
Malifaux,4
role,125
voodoo,1
puppet,6
animated,4
arcane,8
energy,63
act,22
look-alike,1
Claim,3
precious,26
workbenches,1
tear,3
stuffing,2
sew,1
bits,9
fallen,12
comrades,7
OverviewEach,1
animating,1
puppets,1
Puppets,1
claim,33
important,82
Tear,1
apart,8
opponent,135
lead,76
Use,22
careful,42
positioning,11
come,77
couch,2
forty-four,1
plastic,45
models,37
amazing,12
detail,45
tokens,95
brand,26
streamlined,35
Poke,1
familiar,35
long,82
youll,31
want,88
needle,1
join,28
Includes44,1
Highly-detailed,1
figures,32
Fate,13
Decks,5
18,38
Square,1
Impassable,1
Tokens,10
Workbenches,1
Stat,1
Exhausted,1
epic,68
Egyptian,11
Kemet,5
reborn,2
revised,44
Blood,24
Sand,4
immerse,6
realistic,10
Ancient,16
Egypt,11
Gods,30
powerful,168
masters,7
desert,15
Nile,5
delta,1
challenge,69
violent,5
show,31
mercy,2
Get,9
ready,44
God,13
open,53
gates,12
let,23
sing,1
please,9
dominance,18
upgraded,20
beyond,24
1.5,4
developed,29
BGG,17
Free,23
constraints,4
existing,12
designers,15
Jacques,1
Bariot,1
Guillaume,1
Montiage,1
fine-tuning,1
twist,7
bigger,21
detailed,47
figurines,2
back,152
Totaler,5
Krieg,7
stretches,4
fjords,2
Narvik,1
sands,2
El,13
Alamein,4
Moscow,24
sandy,1
beaches,12
Normandy,23
Spanish,22
Berlin,17
everything,57
tells,11
World,132
Europe,97
still,76
unpredictable,12
enjoyable,2
always,58
Whats,1
update,8
give,68
especially,14
pre-war,3
1937,4
1939,5
Republicans,1
Russia,57
hadnt,2
signed,4
Non-Aggression,1
Pact,13
modernized,2
army,140
Maginot,3
literally,6
strategies,44
Axis,66
Soviet,120
linked,14
Pacific,64
companion,16
Empires,34
Dai,6
Senso,6
1937-45,1
joint,4
eye-opening,2
global,27
hands,39
Total,6
Pre-War,2
mobilize,6
diplomacy,19
Limited,4
begins,53
all-out,7
achieve,63
Includes,18
34,49
inch,21
countersheets,31
200,21
64-page,3
24-page,11
force,82
pool,34
December,28
Hitler,26
launched,15
massive,39
offensive,57
weakly,1
Ardennes,12
forest,21
section,25
front,64
Belgium,12
Achieving,3
surprise,26
nevertheless,2
faced,19
tough,22
resistance,13
virtually,8
began,23
followed,10
bloody,15
counterattack,16
gradually,6
erased,1
bulge,1
created,41
know,50
Yet,11
Bulge,18
yes,4
Specifically,1
designer,102
Ted,4
S.,8
Raicer,4
modified,18
chit,27
pull,11
pioneered,3
GMT,37
Dark,58
East,37
Front,42
1941-45,5
brought,38
classic,61
subject,6
scale,90
2/3rds,1
rest,44
given,41
tracks,32
miles,60
regiments,14
brigades,18
armor,26
infantry,73
divisions,38
kampfgruppen,2
artillery,59
Greif,1
commando,3
trucks,4
Von,6
der,11
Heydte,1
paratroop,1
unit,121
Asset,1
markers,50
scratch,1
engineers,15
January,18
reunited,3
recapturing,1
key,81
town,57
Houffalize,1
31st,1
equals,8
lasts,20
thirteen,3
Deadly,4
Woods,7
Action,81
lot,32
happen,10
gets,47
Chits,7
vary,13
chits,35
Round,9
Turn,57
reinforcements,33
Logistics,6
Movement,19
limit,17
Active,3
listed,12
5th,13
Panzer,34
Patton,3
combination,42
Initiative,19
chooses,21
remaining,27
drawn,31
randomly,20
cup,8
consecutive,2
next,109
Armor,8
moving,63
roads,14
bridges,12
projecting,1
ZOC,5
woods,8
losses,36
retreats,6
surrender,12
stalemate,9
hour,32
instant,7
exiting,7
edge,41
Meuse,6
holding,13
Otherwise,5
geographic,6
Victory,86
forced,26
river,23
reason,13
push,35
Instant,1
impossible,9
footprint,2
chaos,25
friction,3
choice,39
Even,16
bulged,1
collection,25
8-May,23
Playbook,13
ziploc,1
Endeavor,6
Age,51
Sail,6
strive,12
empires,15
Sailing,1
Mediterranean,16
establish,19
shipping,16
routes,32
occupy,13
leverage,7
growing,17
industry,16
culture,24
finance,4
Influence,10
extending,4
far-flung,1
regions,53
second,72
Double-sided,4
accommodate,6
counts,11
Variable,7
